Indicator,Group,State,Subgroup,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Start_Date,End_Date,period,total_cases,avg_cases
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,Aug 19 - Aug 31,19.4,19,19.8,19.0 - 19.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,Aug 19 - Aug 31,18.7,17.2,20.3,17.2 - 20.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,Aug 19 - Aug 31,18.3,17.3,19.2,17.3 - 19.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,Aug 19 - Aug 31,20.4,19.5,21.3,19.5 - 21.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,Aug 19 - Aug 31,21.2,20.2,22.2,20.2 - 22.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,Aug 19 - Aug 31,19.7,18.7,20.7,18.7 - 20.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,Aug 19 - Aug 31,18.4,17,19.9,17.0 - 19.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,Aug 19 - Aug 31,13.8,11,17,11.0 - 17.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,Aug 19 - Aug 31,13.7,13,14.3,13.0 - 14.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,Aug 19 - Aug 31,24.6,24,25.2,24.0 - 25.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Aug 19 - Aug 31,11.6,11.2,12.1,11.2 - 12.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Aug 19 - Aug 31,33,32.1,33.9,32.1 - 33.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Aug 19 - Aug 31,13.8,12.6,15,12.6 - 15.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Aug 19 - Aug 31,22.5,22.1,23,22.1 - 23.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Aug 19 - Aug 31,12.6,11.4,13.9,11.4 - 13.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
